REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
../data/speech/test/clean/MCMJ0_SX374.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MDAB0_SI1669_sample_spectrum_spectrum.wav	 1.341	 1.261	 16000	nb16000
../data/speech/test/clean/FDHC0_SX119.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FMGD0_SI2194_sample_spectrum_spectrum.wav	 0.135	 1.045	 16000	nb16000
../data/speech/test/clean/MCMJ0_SI602.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MCMJ0_SX194_sample_spectrum_spectrum.wav	 1.413	 1.289	 16000	nb16000
../data/speech/test/clean/MGRT0_SI1450.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FELC0_SX396_sample_spectrum_spectrum.wav	 2.486	 2.118	 16000	nb16000
../data/speech/test/clean/MDAB0_SX49.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FDHC0_SX389_sample_spectrum_spectrum.wav	 1.521	 1.335	 16000	nb16000
../data/speech/test/clean/MDAB0_SX319.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FELC0_SX306_sample_spectrum_spectrum.wav	 1.173	 1.206	 16000	nb16000
../data/speech/test/clean/FMGD0_SX34.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MDAB0_SX319_sample_spectrum_spectrum.wav	 0.507	 1.078	 16000	nb16000
../data/speech/test/clean/FMGD0_SX394.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FELC0_SX36_sample_spectrum_spectrum.wav	 1.013	 1.164	 16000	nb16000
../data/speech/test/clean/FDHC0_SI1559.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MCMJ0_SI464_sample_spectrum_spectrum.wav	 0.252	 1.053	 16000	nb16000
../data/speech/test/clean/FELC0_SX126.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MCMJ0_SX104_sample_spectrum_spectrum.wav	 0.693	 1.103	 16000	nb16000
../data/speech/test/clean/MGRT0_SX190.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/FELC0_SI756_sample_spectrum_spectrum.wav	 0.849	 1.129	 16000	nb16000
../data/speech/test/clean/FELC0_SX216.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/FELC0_SX216_sample_spectrum_spectrum.wav	 1.463	 1.310	 16000	nb16000
../data/speech/test/clean/FELC0_SX306.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/MDAB0_SX409_sample_spectrum_spectrum.wav	 0.519	 1.080	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX104.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/FELC0_SI2016_sample_spectrum_spectrum.wav	 0.885	 1.136	 16000	nb16000
../data/speech/test/clean/FDHC0_SX389.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/MDAB0_SX139_sample_spectrum_spectrum.wav	 -0.022	 1.035	 16000	nb16000
../data/speech/test/clean/FELC0_SI2016.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/MGRT0_SX370_sample_spectrum_spectrum.wav	 0.772	 1.115	 16000	nb16000
../data/speech/test/clean/FMGD0_SI934.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/FDHC0_SX209_sample_spectrum_spectrum.wav	 1.958	 1.599	 16000	nb16000
../data/speech/test/clean/FMGD0_SI2194.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/FMGD0_SX34_sample_spectrum_spectrum.wav	 1.118	 1.190	 16000	nb16000
../data/speech/test/clean/FDHC0_SI929.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/MGRT0_SI820_sample_spectrum_spectrum.wav	 1.909	 1.563	 16000	nb16000
../data/speech/test/clean/FELC0_SI1386.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/FDHC0_SI2189_sample_spectrum_spectrum.wav	 0.623	 1.093	 16000	nb16000
../data/speech/test/clean/MGRT0_SI2080.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/FMGD0_SI1564_sample_spectrum_spectrum.wav	 0.372	 1.064	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX194.wav	 ../spectrum/speech/test/noisy/factory2/m5dB/FMGD0_SX214_sample_spectrum_spectrum.wav	 0.367	 1.063	 16000	nb16000
